Year,Month,Day,Hour,Clearness_Index,Irradiation,Temperature,RH,Pressure,Wind_ Speed,Precipitiation,Wind_Direction
2015,1,3,8,0.54,387.1,26.35,66.21,99.69,2.23,0,142.7
2015,1,3,9,0.61,572.6,28.23,58.09,99.65,2.52,0,139.3
2015,1,3,10,0.68,741.2,29.83,52.57,99.56,2.74,0,136.2
2015,1,3,11,0.67,779.72,30.98,49.2,99.44,2.9,0,135.6
2015,1,3,12,0.67,770.38,31.71,47.17,99.31,2.97,0,136.4
2015,1,3,13,0.68,718.92,31.95,46.44,99.18,3.01,0,137
2015,1,3,14,0.61,532.6,31.72,46.86,99.12,2.88,0,135
2015,1,3,15,0.58,366.67,31.07,48.41,99.12,2.77,0,129
2015,1,3,16,0.46,156.05,29.63,54.63,99.17,2.63,0,119.4
2015,1,3,17,0.27,13.05,26.52,72.8,99.25,2.33,0,109.3
2015,1,3,18,-999,0,25.38,78.01,99.35,3.03,0,102.8
2015,1,3,19,-999,0,24.6,83.98,99.44,3.56,0,97.1
2015,1,3,20,-999,0,23.81,90.38,99.49,3.49,0,92.8
2015,1,3,21,-999,0,23.19,94.82,99.5,2.97,0,90.4
2015,1,3,22,-999,0,22.72,97.54,99.48,2.4,0,89
2015,1,3,23,-999,0,22.32,99.38,99.44,1.97,0,88.8
2015,1,4,0,-999,0,21.97,100,99.38,1.79,0,89.7
2015,1,4,1,-999,0,21.72,100,99.33,1.7,0,90
2015,1,4,2,-999,0,21.57,100,99.32,1.62,0,91.1
2015,1,4,3,-999,0,21.45,100,99.34,1.55,0,91.1
2015,1,4,4,-999,0,21.42,100,99.38,1.46,0,89.2
2015,1,4,5,-999,0,21.39,100,99.47,1.43,0,85.6
2015,1,4,6,0.29,35.8,22.3,96.48,99.57,1.5,0,78.5
2015,1,4,7,0.47,203.38,24.52,83.14,99.66,2.25,0,80.8
2015,1,4,8,0.57,411.23,26.43,71.92,99.69,2.44,0,80.8
2015,1,4,9,0.63,591.53,28.28,63.13,99.66,2.57,0,77.4
2015,1,4,10,0.67,737.45,29.96,55.93,99.57,2.79,0,77.6
2015,1,4,11,0.69,803.72,31.19,50.75,99.42,2.97,0,79.5
2015,1,4,12,0.7,811.58,31.91,47.41,99.26,3.12,0,81.3
2015,1,4,13,0.64,675.15,32.17,45.62,99.14,3.27,0,82.3
2015,1,4,14,0.63,553.67,31.91,45.39,99.1,3.47,0,80.4
2015,1,4,15,0.59,377.05,31.09,46.96,99.11,3.76,0,79.9
2015,1,4,16,0.46,157.93,29.44,53.06,99.17,3.85,0,82.4
2015,1,4,17,0.26,12.85,26.44,67.35,99.26,3.39,0,87
2015,1,4,18,-999,0,25,75.01,99.37,4.46,0,86.7
2015,1,4,19,-999,0,23.87,83.09,99.46,4.59,0,82.4
2015,1,4,20,-999,0,23.09,89.02,99.5,4.24,0,78
2015,1,4,21,-999,0,22.56,92.73,99.51,3.87,0,74.4
2015,1,4,22,-999,0,22.01,96.1,99.48,3.16,0,70.6
2015,1,4,23,-999,0,21.47,99.04,99.44,2.55,0,66.2
2015,1,5,0,-999,0,21,100,99.4,2.21,0,59.3
2015,1,5,1,-999,0,20.8,100,99.36,2.14,0,51.3
2015,1,5,2,-999,0,20.67,100,99.33,2.06,0,44
2015,1,5,3,-999,0,20.66,100,99.35,2.01,0,39.6
2015,1,5,4,-999,0,20.65,100,99.38,1.96,0,37.3
2015,1,5,5,-999,0,20.5,100,99.47,1.96,0,36.7
2015,1,5,6,0.35,41.42,21.47,95.85,99.56,2.4,0,36.5
2015,1,5,7,0.47,203.65,23.92,81.94,99.65,3.3,0,45
2015,1,5,8,0.56,402.33,26.1,70.07,99.67,3.44,0,52.4
2015,1,5,9,0.63,596.03,28.04,60.84,99.62,3.44,0,55.1
2015,1,5,10,0.69,751.97,29.7,53.55,99.52,3.51,0,59.1
2015,1,5,11,0.71,825.5,30.96,48.21,99.38,3.56,0,64.7
2015,1,5,12,0.7,805.03,31.71,44.79,99.22,3.62,0,70
2015,1,5,13,0.71,750.08,31.94,42.83,99.11,3.69,0,73.1
2015,1,5,14,0.64,567.55,31.65,42.55,99.08,3.84,0,73.2
2015,1,5,15,0.6,383.33,30.79,44.27,99.1,4.05,0,72
2015,1,5,16,0.47,161.73,29.13,50.68,99.17,3.98,0,72.5
2015,1,5,17,0.27,13.82,26.24,65.39,99.26,3.44,0,77.2
2015,1,5,18,-999,0,24.78,74.29,99.36,4.54,0,78.3
2015,1,5,19,-999,0,23.71,83.51,99.45,4.9,0,76.2
2015,1,5,20,-999,0,22.88,90.66,99.5,4.57,0,73.9
2015,1,5,21,-999,0,22.33,94.89,99.49,4.14,0,70.7
2015,1,5,22,-999,0,21.92,97.25,99.45,3.69,0,66.8
2015,1,5,23,-999,0,21.58,98.75,99.39,3.35,0,63
2015,1,6,0,-999,0,21.24,100,99.33,2.99,0,58.3
2015,1,6,1,-999,0,20.81,100,99.29,2.54,0,53
2015,1,6,2,-999,0,20.54,100,99.29,2.34,0,48.3
2015,1,6,3,-999,0,20.26,100,99.31,2.19,0,43.7
2015,1,6,4,-999,0,20.03,100,99.37,2.12,0,38.9
2015,1,6,5,-999,0,19.87,100,99.47,2.1,0,34.9
2015,1,6,6,0.34,39.95,21.1,96.87,99.57,2.36,0,30.8
2015,1,6,7,0.5,217.15,23.78,82.22,99.67,3.2,0,38.3
2015,1,6,8,0.58,415.27,26.15,68.11,99.7,3.46,0,45.2
2015,1,6,9,0.65,607.5,28.14,57.9,99.65,3.59,0,43.8
2015,1,6,10,0.69,758.65,29.6,51.98,99.56,3.56,0,41.7
2015,1,6,11,0.71,826.25,30.57,48.32,99.44,3.39,0,41.6
2015,1,6,12,0.72,833.83,31.19,45.75,99.3,3.15,0,44
2015,1,6,13,0.64,677.2,31.5,44.08,99.18,2.92,0,50.1
2015,1,6,14,0.64,561.95,31.36,43.59,99.13,2.98,0,58.2
2015,1,6,15,0.62,396.52,30.73,44.23,99.14,3.27,0,66
2015,1,6,16,0.49,169.93,29.12,49.99,99.21,3.36,0,74.1
2015,1,6,17,0.29,15.65,26.1,64.38,99.3,3.24,0,82.2
2015,1,6,18,-999,0,24.58,71.21,99.41,4.52,0,83
2015,1,6,19,-999,0,23.37,79.94,99.51,4.88,0,80
2015,1,6,20,-999,0,22.53,86.58,99.57,4.65,0,75.5
2015,1,6,21,-999,0,21.98,90.59,99.57,4.15,0,70
2015,1,6,22,-999,0,21.5,93.43,99.52,3.55,0,64.1
2015,1,6,23,-999,0,20.96,96.33,99.46,2.92,0,58.2
2015,1,7,0,-999,0,20.38,99.3,99.39,2.42,0,52.4
2015,1,7,1,-999,0,19.85,100,99.32,2.19,0,46.3
2015,1,7,2,-999,0,19.41,100,99.29,2.1,0,38.2
2015,1,7,3,-999,0,19.06,100,99.3,2.13,0,27
2015,1,7,4,-999,0,18.78,100,99.36,2.19,0,17
2015,1,7,5,-999,0,18.52,100,99.45,2.23,0,8.8
2015,1,7,6,0.3,35.15,19.67,98.25,99.56,2.52,0,0.2
2015,1,7,7,0.5,217.62,22.66,81.73,99.64,3.19,0,9.8
2015,1,7,8,0.59,419.05,25.42,66.12,99.67,3.4,0,25.1
2015,1,7,9,0.66,622.17,27.65,55.1,99.62,3.51,0,26.4
2015,1,7,10,0.72,786.15,29.42,47.98,99.53,3.48,0,25.5
2015,1,7,11,0.7,826.8,30.75,43.08,99.39,3.33,0,27.6
2015,1,7,12,0.69,798.65,31.55,39.99,99.24,3.15,0,33.6
2015,1,7,13,0.69,737.12,31.88,38.24,99.14,3.03,0,42.3
2015,1,7,14,0.64,567.72,31.73,37.84,99.09,3.21,0,53.2
2015,1,7,15,0.55,355.38,30.86,39.39,99.12,3.56,0,64
2015,1,7,16,0.46,161.52,29.08,46.54,99.18,3.72,0,78.4
2015,1,7,17,0.27,15.02,25.65,62.27,99.24,3.85,0,90.4
2015,1,7,18,-999,0,24.04,72.25,99.35,5.01,0,93.5
2015,1,7,19,-999,0,22.78,83.8,99.44,4.89,0,92.5
2015,1,7,20,-999,0,22.04,91.26,99.49,4.31,0,90.7
2015,1,7,21,-999,0,21.61,94.96,99.49,3.48,0,88.7
2015,1,7,22,-999,0,21.15,97.89,99.46,2.61,0,84.9
2015,1,7,23,-999,0,20.69,100,99.42,2.03,0,79.5
2015,1,8,0,-999,0,20.33,100,99.37,1.84,0,73.6
2015,1,8,1,-999,0,20.1,100,99.33,1.76,0,65.5
2015,1,8,2,-999,0,19.98,100,99.31,1.63,0,55.2
2015,1,8,3,-999,0,19.88,100,99.34,1.57,0,46
2015,1,8,4,-999,0,19.87,100,99.4,1.51,0,39.9
2015,1,8,5,-999,0,19.85,100,99.5,1.45,0,36.3
2015,1,8,6,0.29,33.85,20.75,97.08,99.61,1.43,0,34.1
2015,1,8,7,0.42,180.77,23.32,82.09,99.7,1.88,0,52.3
2015,1,8,8,0.52,372.58,25.61,68.57,99.72,2.03,0,65.2
2015,1,8,9,0.6,563.62,27.65,58.31,99.67,1.99,0,64.5
2015,1,8,10,0.62,686.58,29.28,51.87,99.57,1.96,0,65.3
2015,1,8,11,0.63,735.83,30.45,47.78,99.43,1.92,0,70.2
2015,1,8,12,0.63,727.47,31.11,45.36,99.28,1.9,0,76.6
2015,1,8,13,0.6,643.97,31.33,43.99,99.16,1.92,0,83.1
2015,1,8,14,0.56,502.8,31.11,43.65,99.12,2.15,0,84.7
2015,1,8,15,0.5,325.65,30.29,45.14,99.15,2.56,0,84.2
2015,1,8,16,0.37,130.45,28.87,50.71,99.21,3.02,0,88.1
2015,1,8,17,0.22,12.6,25.81,66.43,99.29,2.98,0,93.9
2015,1,8,18,-999,0,24.48,73.06,99.4,4.29,0,96.4
2015,1,8,19,-999,0,23.35,81.84,99.51,4.68,0,96
2015,1,8,20,-999,0,22.53,88.41,99.56,4.29,0,94
2015,1,8,21,-999,0,22.04,91.64,99.58,3.71,0,91.2
2015,1,8,22,-999,0,21.56,94.53,99.56,3.08,0,87.4
2015,1,8,23,-999,0,21.1,97.2,99.53,2.49,0,81.7
2015,1,9,0,-999,0,20.76,98.96,99.49,2.02,0,73
2015,1,9,1,-999,0,20.52,99.87,99.45,1.86,0,63.4
2015,1,9,2,-999,0,20.25,100,99.45,1.83,0,55.7
2015,1,9,3,-999,0,20.01,100,99.49,1.88,0,50.6
2015,1,9,4,-999,0,19.88,100,99.56,1.92,0,46.5
2015,1,9,5,-999,0,19.86,100,99.66,1.93,0,44.4
2015,1,9,6,0.24,27.85,20.81,95.65,99.76,2.33,0,43.8
2015,1,9,7,0.41,177.5,23.13,82.93,99.84,3.17,0,53.2
2015,1,9,8,0.53,374.7,25.35,70.11,99.83,3.51,0,62.9
2015,1,9,9,0.57,533.22,27.2,60.19,99.77,3.66,0,62.5
2015,1,9,10,0.59,644.53,28.61,54.21,99.66,3.73,0,61
2015,1,9,11,0.56,655.78,29.55,50.63,99.52,3.71,0,60.8
2015,1,9,12,0.56,656.83,30.11,48.51,99.36,3.67,0,62.9
2015,1,9,13,0.5,539.78,30.34,47.24,99.25,3.71,0,65.5
2015,1,9,14,0.49,441.55,30.29,46.66,99.21,3.94,0,67.6
2015,1,9,15,0.45,290.23,29.42,48.72,99.24,4.3,0,71.1
2015,1,9,16,0.32,114.62,27.79,54.82,99.32,4.55,0,76.7
2015,1,9,17,0.22,13.1,25.48,65.81,99.42,4.39,0,82
2015,1,9,18,-999,0,23.9,74.53,99.54,5.07,0,81.4
2015,1,9,19,-999,0,22.68,82.55,99.66,4.66,0,77.6
2015,1,9,20,-999,0,21.87,87.84,99.7,4.19,0,73.3
2015,1,9,21,-999,0,21.3,91.2,99.69,3.73,0,69.4
2015,1,9,22,-999,0,20.8,93.69,99.65,3.17,0,65.6
2015,1,9,23,-999,0,20.29,96.25,99.61,2.67,0,61.3
2015,1,10,0,-999,0,19.79,98.73,99.54,2.3,0,54.7
2015,1,10,1,-999,0,19.38,100,99.49,2.13,0,46
2015,1,10,2,-999,0,19.04,100,99.48,2.1,0,37.3
2015,1,10,3,-999,0,18.69,100,99.5,2.13,0,30.4
2015,1,10,4,-999,0,18.33,100,99.53,2.18,0,24.1
2015,1,10,5,-999,0,17.95,100,99.61,2.25,0,18.4
2015,1,10,6,0.27,30.6,18.8,97.48,99.7,2.84,0,13.4
2015,1,10,7,0.38,162.88,21.51,81.96,99.8,3.8,0,24.5
2015,1,10,8,0.49,349.92,24.37,63.25,99.82,4.49,0,39.4
2015,1,10,9,0.54,511.55,26.56,48.14,99.78,4.68,0,35.8
2015,1,10,10,0.58,638.17,28.4,38.77,99.68,4.75,0,30.9
2015,1,10,11,0.65,766.8,29.69,33.62,99.54,4.63,0,29.1
2015,1,10,12,0.64,749.78,30.55,30.61,99.39,4.39,0,31
2015,1,10,13,0.64,685.7,30.96,28.88,99.25,4.15,0,36.5
2015,1,10,14,0.59,527.6,30.81,28.19,99.2,4.3,0,44.2
2015,1,10,15,0.55,362.62,29.87,29.42,99.22,4.75,0,52.7
2015,1,10,16,0.44,159.75,27.58,37.17,99.31,4.59,0,64
2015,1,10,17,0.26,15.7,23.71,53.29,99.42,4.56,0,73.3
2015,1,10,18,-999,0,22.12,64.15,99.55,5.71,0,73.5
2015,1,10,19,-999,0,20.92,74.93,99.67,5.28,0,70.7
2015,1,10,20,-999,0,20.08,81.37,99.71,4.35,0,67.3
2015,1,10,21,-999,0,19.68,82.79,99.71,4.18,0,62.8
2015,1,10,22,-999,0,18.96,86.99,99.68,3.51,0,55.9
2015,1,10,23,-999,0,18.1,92.61,99.64,2.79,0,46.2
2015,1,11,0,-999,0,17.46,96.84,99.59,2.57,0,34.9
2015,1,11,1,-999,0,16.93,99.85,99.53,2.51,0,23.2
2015,1,11,2,-999,0,16.45,100,99.52,2.5,0,13.6
2015,1,11,3,-999,0,15.99,100,99.54,2.51,0,6.4
2015,1,11,4,-999,0,15.58,100,99.58,2.58,0,0.9
2015,1,11,5,-999,0,15.21,100,99.66,2.68,0,357
2015,1,11,6,0.33,37.28,16.33,95.45,99.76,3.37,0,354.4
2015,1,11,7,0.55,232.98,19.36,78.94,99.85,3.59,0,358.2
2015,1,11,8,0.66,467.33,23.59,58.06,99.89,5.12,0,36.7
2015,1,11,9,0.73,685,25.87,49.22,99.84,5.31,0,43.2
2015,1,11,10,0.72,795.58,27.59,43.75,99.73,5.17,0,44.6
2015,1,11,11,0.6,712.53,28.87,40.03,99.57,5.07,0,46
2015,1,11,12,0.68,790.3,29.76,37.7,99.41,5.11,0,48.1
2015,1,11,13,0.66,714.55,30.09,36.61,99.28,5.27,0,50.5
2015,1,11,14,0.64,578.83,29.82,36.64,99.25,5.59,0,52.9
2015,1,11,15,0.62,406.25,28.81,38.85,99.27,5.97,0,55.8
2015,1,11,16,0.5,180.23,26.87,44.97,99.34,5.83,0,59.8
2015,1,11,17,0.29,18.05,23.59,59,99.44,4.43,0,66.7
2015,1,11,18,-999,0,21.83,68.67,99.55,4.56,0,69.7
2015,1,11,19,-999,0,20.81,75.74,99.64,4.31,0,68.6
2015,1,11,20,-999,0,20.05,81.09,99.68,3.82,0,64.8
2015,1,11,21,-999,0,19.4,85.27,99.68,3.43,0,59.6
2015,1,11,22,-999,0,18.79,88.69,99.65,3.2,0,54
2015,1,11,23,-999,0,18.24,91.61,99.6,3.09,0,47.9
2015,1,12,0,-999,0,17.71,94.33,99.53,3.02,0,41
2015,1,12,1,-999,0,17.19,96.77,99.46,2.98,0,33.8
2015,1,12,2,-999,0,16.67,99.09,99.44,2.87,0,28.1
2015,1,12,3,-999,0,16.14,100,99.46,2.73,0,22.8
2015,1,12,4,-999,0,15.63,100,99.49,2.65,0,16.7
2015,1,12,5,-999,0,15.17,100,99.57,2.64,0,10.2
2015,1,12,6,0.33,37.1,16.32,95.1,99.68,3.22,0,3.9
2015,1,12,7,0.51,219.35,19.35,78.51,99.78,3.46,0,1.5
2015,1,12,8,0.63,448.17,23.62,55.37,99.83,4.62,0,37.4
2015,1,12,9,0.68,638.25,25.93,46.66,99.79,4.7,0,43.4
2015,1,12,10,0.7,770.22,27.58,42.17,99.69,4.33,0,43.9
2015,1,12,11,0.7,822.1,28.88,39,99.55,4.07,0,45
2015,1,12,12,0.7,820.6,29.77,36.99,99.39,3.95,0,46.8
2015,1,12,13,0.71,763.42,30.16,35.97,99.24,3.97,0,48.9
2015,1,12,14,0.64,582.17,30.01,35.96,99.17,4.4,0,51.6
2015,1,12,15,0.62,406.92,29.17,37.36,99.18,5.01,0,54.3
2015,1,12,16,0.49,180.27,27.37,42.55,99.25,5.11,0,58
2015,1,12,17,0.29,18.45,23.95,56.41,99.35,4.3,0,64.4
2015,1,12,18,-999,0,22.32,63.85,99.47,5.21,0,66
2015,1,12,19,-999,0,21.03,71.51,99.59,5.05,0,64
2015,1,12,20,-999,0,20.15,77.35,99.65,4.61,0,60.8
2015,1,12,21,-999,0,19.47,82.17,99.67,4.07,0,56.6
2015,1,12,22,-999,0,18.8,86.9,99.66,3.54,0,51.3
2015,1,12,23,-999,0,18.17,91.12,99.62,3.2,0,44.5
2015,1,13,0,-999,0,17.59,94.53,99.56,3.02,0,37.5
2015,1,13,1,-999,0,16.99,97.46,99.48,2.8,0,31.7
2015,1,13,2,-999,0,16.4,99.95,99.43,2.58,0,27.5
2015,1,13,3,-999,0,15.8,100,99.41,2.42,0,23.9
2015,1,13,4,-999,0,15.26,100,99.42,2.38,0,17.8
2015,1,13,5,-999,0,14.9,100,99.49,2.55,0,7.9
2015,1,13,6,0.35,38.7,16.15,96.15,99.61,3.78,0,357.7
2015,1,13,7,0.54,228.68,19.3,78.36,99.73,4.4,0,357
2015,1,13,8,0.64,458.3,23.26,57.11,99.78,5.12,0,18.4
2015,1,13,9,0.72,676.3,25.75,46.56,99.75,4.52,0,23.7
2015,1,13,10,0.73,805.38,27.66,39.99,99.64,4.01,0,24.9
2015,1,13,11,0.74,874.17,29.11,35.45,99.49,3.74,0,26.2
2015,1,13,12,0.75,883.95,30.09,32.7,99.31,3.68,0,30.2
2015,1,13,13,0.69,748.8,30.53,31.66,99.16,3.79,0,36.8
2015,1,13,14,0.67,605.65,30.43,32.1,99.07,4.17,0,46.5
2015,1,13,15,0.65,432.75,29.6,34.66,99.08,4.7,0,54.8
2015,1,13,16,0.5,185.48,27.8,41.7,99.14,4.73,0,61.3
2015,1,13,17,0.31,20.55,24.07,60.24,99.24,3.64,0,68.4
2015,1,13,18,-999,0,22.8,69.78,99.37,4.66,0,69.8
2015,1,13,19,-999,0,21.74,78.45,99.49,4.63,0,67.4
2015,1,13,20,-999,0,20.8,83.91,99.53,4.12,0,63
2015,1,13,21,-999,0,20.05,87.01,99.53,3.61,0,57.9
2015,1,13,22,-999,0,19.29,89.92,99.5,3.09,0,53
2015,1,13,23,-999,0,18.58,92.63,99.45,2.79,0,47.9
2015,1,14,0,-999,0,17.96,94.8,99.4,2.67,0,40.6
2015,1,14,1,-999,0,17.46,96.12,99.34,2.71,0,31.3
2015,1,14,2,-999,0,17.04,96.51,99.32,2.8,0,21.8
2015,1,14,3,-999,0,16.62,96.39,99.34,2.89,0,13.2
2015,1,14,4,-999,0,16.19,96.12,99.39,2.9,0,6.3
2015,1,14,5,-999,0,15.77,95.98,99.45,2.84,0,1.4
2015,1,14,6,0.3,32.53,16.86,88.23,99.55,3.37,0,357.6
2015,1,14,7,0.5,213.77,19.9,73.25,99.64,3.54,0,356.6
2015,1,14,8,0.63,445.67,24.16,54.78,99.68,3.78,0,34.9
2015,1,14,9,0.67,629.42,26.6,45.61,99.66,3.33,0,48.9
2015,1,14,10,0.68,746.8,28.28,39.74,99.59,2.98,0,53.1
2015,1,14,11,0.56,659.3,29.56,35.67,99.46,2.85,0,56.6
2015,1,14,12,0.69,809.35,30.4,33.19,99.33,2.88,0,61.1
2015,1,14,13,0.64,688.6,30.77,32.09,99.2,3.03,0,65.6
2015,1,14,14,0.65,592.35,30.58,32.28,99.13,3.37,0,66.6
2015,1,14,15,0.61,405.02,29.78,33.79,99.12,3.94,0,66.2
2015,1,14,16,0.5,185.05,27.96,39.73,99.16,4.18,0,68.2
2015,1,14,17,0.3,20.62,24.08,56.58,99.23,3.64,0,73.3
2015,1,14,18,-999,0,22.74,63.24,99.34,5.15,0,73.9
2015,1,14,19,-999,0,21.53,70.19,99.47,5.43,0,71.6
2015,1,14,20,-999,0,20.66,74.48,99.54,5.03,0,69.2
2015,1,14,21,-999,0,19.97,77.34,99.56,4.32,0,67
2015,1,14,22,-999,0,19.17,80.92,99.56,3.41,0,63.1
2015,1,14,23,-999,0,18.42,84.34,99.53,2.89,0,58
2015,1,15,0,-999,0,17.8,87.03,99.48,2.66,0,53.1
2015,1,15,1,-999,0,17.21,89.71,99.42,2.49,0,46.6
2015,1,15,2,-999,0,16.68,92.34,99.39,2.37,0,37.6
2015,1,15,3,-999,0,16.19,95.2,99.41,2.33,0,26.5
2015,1,15,4,-999,0,15.8,97.65,99.46,2.34,0,15.1
2015,1,15,5,-999,0,15.48,99.55,99.52,2.39,0,6
2015,1,15,6,0.36,38.55,16.79,91.9,99.61,3.05,0,359.1
2015,1,15,7,0.55,233.12,19.91,76.5,99.68,3.37,0,358.1
2015,1,15,8,0.66,466.42,23.85,57.59,99.71,3.26,0,31.2
2015,1,15,9,0.67,631.8,26.26,46.72,99.68,3.12,0,33
2015,1,15,10,0.73,804.25,28.18,39.93,99.59,3.13,0,30.7
2015,1,15,11,0.75,892.47,29.65,35.38,99.46,3.22,0,32.5
2015,1,15,12,0.71,835.47,30.69,32.24,99.31,3.33,0,38.7
2015,1,15,13,0.66,712.3,31.2,30.38,99.18,3.39,0,47
2015,1,15,14,0.66,604.72,31.13,29.71,99.12,3.56,0,56.4
2015,1,15,15,0.65,434.2,30.35,30.77,99.12,3.93,0,63.2
2015,1,15,16,0.5,187.27,28.4,37.27,99.17,3.86,0,69.2
2015,1,15,17,0.32,22.67,24.16,55.7,99.25,3.45,0,76.9
2015,1,15,18,-999,0,22.86,64.55,99.37,4.78,0,78.7
2015,1,15,19,-999,0,21.76,76.83,99.47,4.88,0,77.4
2015,1,15,20,-999,0,20.87,87.26,99.54,4.24,0,75.1
2015,1,15,21,-999,0,20.27,93.53,99.55,3.6,0,72.2
2015,1,15,22,-999,0,19.66,98.15,99.53,2.91,0,68.6
2015,1,15,23,-999,0,19.05,100,99.49,2.5,0,64.4
2015,1,16,0,-999,0,18.59,100,99.44,2.34,0,59.4
2015,1,16,1,-999,0,18.23,100,99.39,2.27,0,52.3
2015,1,16,2,-999,0,18.01,100,99.36,2.28,0,44.6
2015,1,16,3,-999,0,18.16,100,99.38,2.19,0,38
2015,1,16,4,-999,0,18.22,100,99.43,2.14,0,27.5
2015,1,16,5,-999,0,18.35,100,99.5,2.14,0,20
2015,1,16,6,0.37,39.42,19.81,95.92,99.58,2.69,0,15.7
2015,1,16,7,0.56,236.8,22.61,81.99,99.67,3.55,0,27.1
2015,1,16,8,0.65,463.23,25.19,69.8,99.7,3.79,1.57,43.1
2015,1,16,9,0.67,630.95,27.43,59.46,99.68,3.61,0.98,48.8
2015,1,16,10,0.67,739.03,29.3,51.67,99.6,3.5,1.02,50.2
2015,1,16,11,0.6,713.15,30.68,46.65,99.49,3.51,1.05,49.3
2015,1,16,12,0.6,711.1,31.61,43.38,99.36,3.62,0.97,51.5
2015,1,16,13,0.58,627.67,32.01,41.73,99.25,3.83,0.48,56.9
